epoch,train_loss,validation_loss,best_validation_loss
1,4.6007983,4.3398845,4.3398845
2,4.190852,3.965053,3.965053
3,3.8576809,3.714226,3.714226
4,3.6376574,3.5658665,3.5658665
5,3.4994908,3.4657881,3.4657881
6,3.4002444,3.3698219,3.3698219
7,3.2673663,3.2617347,3.2617347
8,3.1578956,3.1576035,3.1576035
9,3.0240433,3.0513896,3.0513896
10,2.9164168,2.9350073,2.9350073
11,2.810035,2.8267821,2.8267821
12,2.6858572,2.7251644,2.7251644
13,2.6027878,2.641086,2.641086
14,2.5201367,2.5635921,2.5635921
15,2.4541633,2.4981995,2.4981995
16,2.3991096,2.4403319,2.4403319
17,2.3453133,2.3877808,2.3877808
18,2.2905822,2.3359475,2.3359475
19,2.258672,2.3038636,2.3038636
20,2.2303628,2.2778232,2.2778232
21,2.2014793,2.2420312,2.2420312
22,2.1856013,2.2172071,2.2172071
23,2.1563997,2.1927009,2.1927009
24,2.1353081,2.1786821,2.1786821
25,2.1157211,2.1566683,2.1566683
26,2.0997244,2.1360439,2.1360439
27,2.0773796,2.1330507,2.1330507
28,2.081869,2.1179144,2.1179144
29,2.0537904,2.1035591,2.1035591
30,2.043256,2.0963118,2.0963118
31,2.0354052,2.089193,2.089193
32,2.0222171,2.0804584,2.0804584
33,2.0152148,2.0710672,2.0710672
34,2.0095707,2.0626332,2.0626332
35,1.9901944,2.0703818,2.0626332
36,1.984161,2.0630351,2.0626332
37,1.9699209,2.0492016,2.0492016
38,1.9687331,2.0547076,2.0492016
39,1.9634612,2.0386971,2.0386971
40,1.9501038,2.0385005,2.0385005
41,1.944406,2.0355453,2.0355453
42,1.9323494,2.0316255,2.0316255
