epoch,train_loss,validation_loss,validation_accuracy,validation_macro_f1,best_validation_macro_f1
1,1.068373,0.99235895,0.57407407,0.42441867,0.42441867
2,0.93154845,0.96458919,0.49074074,0.4731754,0.4731754
3,0.88792554,1.1017869,0.42592593,0.39474229,0.4731754
4,0.86708809,0.86374337,0.63888889,0.57719174,0.57719174
5,0.83579282,0.94274668,0.58333333,0.58343741,0.58343741
6,0.8223026,0.91387866,0.59259259,0.58748113,0.58748113
7,0.79092001,1.0907839,0.55555556,0.54898279,0.58748113
8,0.78039655,0.90903348,0.64814815,0.61440632,0.61440632
9,0.73445037,1.0268662,0.53703704,0.54094752,0.61440632
10,0.72149036,0.9003138,0.66666667,0.64823,0.64823
11,0.65868434,1.1150619,0.52777778,0.5321178,0.64823
12,0.61283005,1.0568727,0.53703704,0.52837134,0.64823
13,0.57210157,1.0780352,0.60185185,0.59700025,0.64823
14,0.51021758,1.0958719,0.56481481,0.56084507,0.64823
