epoch,train_loss,validation_loss,best_validation_loss
1,2.5122809,1.9171937,1.9171937
2,1.9050609,1.8503746,1.8503746
3,1.8592701,1.8243212,1.8243212
4,1.8382733,1.8148131,1.8148131
5,1.8032234,1.7497586,1.7497586
6,1.7446103,1.7090624,1.7090624
7,1.7112466,1.6797739,1.6797739
8,1.6831207,1.651535,1.651535
9,1.6652299,1.6395961,1.6395961
10,1.6497822,1.6222235,1.6222235
11,1.6367358,1.6126364,1.6126364
12,1.6259702,1.605059,1.605059
13,1.6136417,1.5922256,1.5922256
14,1.6033825,1.5821483,1.5821483
15,1.5934623,1.5768228,1.5768228
16,1.5880789,1.5699551,1.5699551
17,1.5798852,1.5641232,1.5641232
18,1.5716108,1.5605742,1.5605742
19,1.564705,1.5566412,1.5566412
20,1.5579122,1.5524651,1.5524651
21,1.5530496,1.549104,1.549104
22,1.5461936,1.5440429,1.5440429
23,1.5409168,1.5439241,1.5439241
24,1.5361605,1.5409687,1.5409687
25,1.5318113,1.5370543,1.5370543
26,1.5239424,1.5371815,1.5370543
27,1.519384,1.5329872,1.5329872
28,1.512867,1.5324079,1.5324079
29,1.5078658,1.5316078,1.5316078
30,1.5034112,1.5268421,1.5268421
31,1.4976304,1.5272637,1.5268421
32,1.4918496,1.5230975,1.5230975
33,1.4862134,1.5255849,1.5230975
34,1.4818336,1.5248516,1.5230975
35,1.4771377,1.5252258,1.5230975
36,1.4699665,1.5233378,1.5230975
37,1.4673929,1.5214524,1.5214524
38,1.4602094,1.5190274,1.5190274
39,1.4545299,1.5226852,1.5190274
40,1.4492136,1.5231344,1.5190274
41,1.4427482,1.5231948,1.5190274
42,1.4379217,1.5260528,1.5190274
43,1.4335432,1.5218335,1.5190274
44,1.4277837,1.5244342,1.5190274
45,1.4215885,1.5232386,1.5190274
46,1.415214,1.5244474,1.5190274
47,1.4081595,1.5264749,1.5190274
48,1.4037837,1.5288898,1.5190274
49,1.3991401,1.5242503,1.5190274
50,1.3908794,1.5286101,1.5190274
